SE PSI DELTA
AOI	 75.7
SE 263.916	1.00249		0.499011
SE 264.072	0.995119	0.498201
SE 264.227	0.98753		0.502919
SE 264.383	0.990766	0.500942
SE 264.539	0.982209	0.507505
SE 264.696	0.988672	0.508203
SE 264.853	0.974812	0.507395
SE 265.01	0.970956	0.51765
SE 265.167	0.974565	0.522875
SE 265.325	0.963767	0.516097
SE 265.483	0.963521	0.516948
SE 265.641	0.964302	0.521567
SE 265.8	0.958563	0.517753
SE 265.959	0.950953	0.51108
SE 266.118	0.954804	0.526805
SE 266.278	0.95733		0.526471
SE 266.438	0.947341	0.521645
SE 266.598	0.947393	0.519254
SE 266.758	0.945016	0.521213
SE 266.919	0.938418	0.519033
SE 267.08	0.930767	0.516542
SE 267.241	0.930571	0.520527
SE 267.403	0.928129	0.513822
SE 267.565	0.922968	0.51109
SE 267.728	0.923569	0.510127
SE 267.89	0.915874	0.503742
SE 268.053	0.914986	0.51049
SE 268.216	0.915408	0.502403
SE 268.38	0.913421	0.507722
SE 268.544	0.91073		0.504972
SE 268.708	0.910394	0.50474
SE 268.873	0.908854	0.505245
SE 269.038	0.905054	0.496384
SE 269.203	0.896631	0.491573
SE 269.369	0.904882	0.494795
SE 269.535	0.900508	0.488147
SE 269.701	0.897043	0.485289
SE 269.867	0.898038	0.484491
SE 270.034	0.891321	0.476761
SE 270.202	0.890575	0.472758
SE 270.369	0.891692	0.466214
SE 270.537	0.887967	0.464862
SE 270.705	0.885294	0.458993
SE 270.874	0.879032	0.454414
SE 271.043	0.877886	0.448779
SE 271.212	0.877861	0.443907
SE 271.382	0.877223	0.442524
SE 271.552	0.867918	0.434715
SE 271.722	0.874581	0.430742
SE 271.892	0.868166	0.423403
SE 272.063	0.86294		0.418113
SE 272.235	0.863425	0.413978
SE 272.406	0.86351		0.411469
SE 272.578	0.862563	0.402038
SE 272.751	0.856092	0.395469
SE 272.924	0.854205	0.387926
SE 273.097	0.852552	0.384434
SE 273.27	0.849335	0.370926
SE 273.444	0.8458		0.369351
SE 273.618	0.846531	0.362183
SE 273.792	0.836586	0.352745
SE 273.967	0.838756	0.344514
SE 274.143	0.833155	0.335596
SE 274.318	0.831976	0.325982
SE 274.494	0.832018	0.319531
SE 274.67	0.826264	0.313331
SE 274.847	0.825086	0.300246
SE 275.024	0.82208		0.295438
SE 275.202	0.819959	0.286807
SE 275.379	0.814197	0.277072
SE 275.557	0.813101	0.265706
SE 275.736	0.812684	0.255065
SE 275.915	0.80759		0.247381
SE 276.094	0.803755	0.2358
SE 276.274	0.7994		0.225863
SE 276.454	0.798101	0.213923
SE 276.634	0.794648	0.201105
SE 276.815	0.789176	0.190855
SE 276.996	0.78655		0.181254
SE 277.178	0.784391	0.17146
SE 277.36	0.780285	0.158906
SE 277.542	0.77779		0.145337
