STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.184228607 0.01
uR 354.269018 0.0 0.192004997 0.01
uR 357.561463 0.0 0.200749532 0.01
uR 360.853576 0.0 0.207589007 0.01
uR 364.145357 0.0 0.210524672 0.01
uR 367.436805 0.0 0.217988757 0.01
uR 370.72792 0.0 0.218956902 0.01
uR 374.018704 0.0 0.222954403 0.01
uR 377.309154 0.0 0.22729544 0.01
uR 380.599273 0.0 0.22529669 0.01
uR 383.889059 0.0 0.219768894 0.01
uR 387.178512 0.0 0.214209869 0.01
uR 390.467634 0.0 0.210649594 0.01
uR 393.756422 0.0 0.205309182 0.01
uR 397.044879 0.0 0.203653966 0.01
uR 400.333003 0.0 0.203341661 0.01
uR 403.620794 0.0 0.206246096 0.01
uR 406.908253 0.0 0.209931293 0.01
uR 410.19538 0.0 0.215459088 0.01
uR 413.482174 0.0 0.222267333 0.01
uR 416.768636 0.0 0.231698938 0.01
uR 420.054765 0.0 0.242004997 0.01
uR 423.340563 0.0 0.252560899 0.01
uR 426.626027 0.0 0.262804497 0.01
uR 429.911159 0.0 0.274141162 0.01
uR 433.195959 0.0 0.284509681 0.01
uR 436.480426 0.0 0.293691443 0.01
uR 439.764561 0.0 0.301186758 0.01
uR 443.048364 0.0 0.308806996 0.01
uR 446.331834 0.0 0.3149594 0.01
uR 449.614972 0.0 0.319175515 0.01
uR 452.897777 0.0 0.32273579 0.01
uR 456.18025 0.0 0.325109307 0.01
uR 459.46239 0.0 0.325671455 0.01
uR 462.744198 0.0 0.325452842 0.01
uR 466.025674 0.0 0.324109931 0.01
uR 469.306817 0.0 0.322173641 0.01
uR 472.587628 0.0 0.319175515 0.01
uR 475.868106 0.0 0.315521549 0.01
uR 479.148252 0.0 0.311742661 0.01
uR 482.428066 0.0 0.308338538 0.01
uR 485.707547 0.0 0.304247345 0.01
uR 488.986696 0.0 0.300874453 0.01
uR 492.265512 0.0 0.297314179 0.01
uR 495.543996 0.0 0.294409744 0.01
uR 498.822147 0.0 0.293285447 0.01
uR 502.099966 0.0 0.290630856 0.01
uR 505.377453 0.0 0.289850094 0.01
uR 508.654607 0.0 0.290974391 0.01
uR 511.931429 0.0 0.291130543 0.01
