STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.186820737 0.01
uR 354.269018 0.0 0.186196127 0.01
uR 357.561463 0.0 0.181667708 0.01
uR 360.853576 0.0 0.176545909 0.01
uR 364.145357 0.0 0.171736415 0.01
uR 367.436805 0.0 0.169362898 0.01
uR 370.72792 0.0 0.172517177 0.01
uR 374.018704 0.0 0.174391006 0.01
uR 377.309154 0.0 0.180886946 0.01
uR 380.599273 0.0 0.188132417 0.01
uR 383.889059 0.0 0.19544035 0.01
uR 387.178512 0.0 0.204278576 0.01
uR 390.467634 0.0 0.21364772 0.01
uR 393.756422 0.0 0.223016864 0.01
uR 397.044879 0.0 0.233635228 0.01
uR 400.333003 0.0 0.245409119 0.01
uR 403.620794 0.0 0.257838851 0.01
uR 406.908253 0.0 0.267707683 0.01
uR 410.19538 0.0 0.276733292 0.01
uR 413.482174 0.0 0.283978763 0.01
uR 416.768636 0.0 0.289038101 0.01
uR 420.054765 0.0 0.294284822 0.01
uR 423.340563 0.0 0.298094941 0.01
uR 426.626027 0.0 0.3 0.01
uR 429.911159 0.0 0.300562149 0.01
uR 433.195959 0.0 0.300405996 0.01
uR 436.480426 0.0 0.299656465 0.01
uR 439.764561 0.0 0.297033104 0.01
uR 443.048364 0.0 0.295128045 0.01
uR 446.331834 0.0 0.291317926 0.01
uR 449.614972 0.0 0.288007495 0.01
uR 452.897777 0.0 0.284540912 0.01
uR 456.18025 0.0 0.281511555 0.01
uR 459.46239 0.0 0.277201749 0.01
uR 462.744198 0.0 0.274515928 0.01
uR 466.025674 0.0 0.273048095 0.01
uR 469.306817 0.0 0.271892567 0.01
uR 472.587628 0.0 0.271517801 0.01
uR 475.868106 0.0 0.271143036 0.01
uR 479.148252 0.0 0.272985634 0.01
uR 482.428066 0.0 0.275015615 0.01
uR 485.707547 0.0 0.277357901 0.01
uR 488.986696 0.0 0.282136165 0.01
uR 492.265512 0.0 0.286664585 0.01
uR 495.543996 0.0 0.292692067 0.01
uR 498.822147 0.0 0.298969394 0.01
uR 502.099966 0.0 0.305652717 0.01
uR 505.377453 0.0 0.312523423 0.01
uR 508.654607 0.0 0.320237352 0.01
uR 511.931429 0.0 0.326139913 0.01
uR 515.207918 0.0 0.333541537 0.01
uR 518.484075 0.0 0.340318551 0.01
uR 521.7599 0.0 0.347282948 0.01
uR 525.035392 0.0 0.35193629 0.01
uR 528.310551 0.0 0.357495315 0.01
uR 531.585379 0.0 0.36361649 0.01
uR 534.859874 0.0 0.367676452 0.01
uR 538.134036 0.0 0.37204872 0.01
uR 541.407866 0.0 0.376920675 0.01
uR 544.681364 0.0 0.380762024 0.01
uR 547.954529 0.0 0.382792005 0.01
uR 551.227362 0.0 0.385009369 0.01
uR 554.499862 0.0 0.386695815 0.01
uR 557.77203 0.0 0.387882573 0.01
uR 561.043866 0.0 0.388913179 0.01
uR 564.315369 0.0 0.390505934 0.01
uR 567.58654 0.0 0.389850094 0.01
uR 570.857378 0.0 0.389381636 0.01
uR 574.127884 0.0 0.388632105 0.01
uR 577.398057 0.0 0.387539038 0.01
uR 580.667898 0.0 0.385852592 0.01
uR 583.937407 0.0 0.385665209 0.01
uR 587.206583 0.0 0.384603373 0.01
uR 590.475427 0.0 0.382354778 0.01
uR 593.743938 0.0 0.380137414 0.01
uR 597.012117 0.0 0.377701437 0.01
uR 600.279964 0.0 0.376764522 0.01
uR 603.547478 0.0 0.373204247 0.01
uR 606.81466 0.0 0.370986883 0.01
uR 610.081509 0.0 0.369081824 0.01
uR 613.348026 0.0 0.365146783 0.01
uR 616.61421 0.0 0.36364772 0.01
uR 619.880062 0.0 0.360899438 0.01
uR 623.145582 0.0 0.35780762 0.01
uR 626.410769 0.0 0.3558401 0.01
uR 629.675624 0.0 0.352529669 0.01
uR 632.940147 0.0 0.349656465 0.01
uR 636.204337 0.0 0.347564022 0.01
uR 639.468194 0.0 0.345783885 0.01
uR 642.731719 0.0 0.343722673 0.01
uR 645.994912 0.0 0.342629606 0.01
uR 649.257772 0.0 0.342254841 0.01
uR 652.5203 0.0 0.340568395 0.01
uR 655.782496 0.0 0.340193629 0.01
uR 659.044359 0.0 0.340068707 0.01
uR 662.305889 0.0 0.341161774 0.01
uR 665.567088 0.0 0.341224235 0.01
uR 668.827954 0.0 0.341786384 0.01
uR 672.088487 0.0 0.341505309 0.01
uR 675.348688 0.0 0.342379763 0.01
uR 678.608556 0.0 0.343098064 0.01
uR 681.868093 0.0 0.344597127 0.01
uR 685.127296 0.0 0.345284197 0.01
uR 688.386168 0.0 0.346876952 0.01
uR 691.644707 0.0 0.348782011 0.01
uR 694.902913 0.0 0.350249844 0.01
uR 698.160787 0.0 0.352779513 0.01
uR 701.418329 0.0 0.354059963 0.01
uR 704.675538 0.0 0.355402873 0.01
uR 707.932415 0.0 0.357183011 0.01
uR 711.188959 0.0 0.358713304 0.01
uR 714.445171 0.0 0.361555278 0.01
uR 717.701051 0.0 0.363210493 0.01
uR 720.956598 0.0 0.36555278 0.01
uR 724.211813 0.0 0.367364147 0.01
uR 727.466695 0.0 0.369519051 0.01
uR 730.721245 0.0 0.371611493 0.01
uR 733.975463 0.0 0.3733604 0.01
uR 737.229348 0.0 0.374828232 0.01
uR 740.4829 0.0 0.377139288 0.01
uR 743.736121 0.0 0.378326046 0.01
uR 746.989009 0.0 0.38054341 0.01
uR 750.241564 0.0 0.38113679 0.01
uR 753.493787 0.0 0.38379138 0.01
uR 756.745678 0.0 0.384634603 0.01
uR 759.997236 0.0 0.387164272 0.01
uR 763.248462 0.0 0.388475953 0.01
uR 766.499355 0.0 0.389881324 0.01
uR 769.749916 0.0 0.389912555 0.01
uR 773.000144 0.0 0.39219238 0.01
uR 776.25004 0.0 0.393254216 0.01
uR 779.499604 0.0 0.392723298 0.01
uR 782.748835 0.0 0.393129294 0.01
uR 785.997734 0.0 0.393597751 0.01
uR 789.246301 0.0 0.392816989 0.01
uR 792.494535 0.0 0.39481574 0.01
uR 795.742436 0.0 0.393066833 0.01
uR 798.990006 0.0 0.394347283 0.01
uR 802.237242 0.0 0.394284822 0.01
uR 805.484147 0.0 0.39481574 0.01
uR 808.730719 0.0 0.394191131 0.01
uR 811.976958 0.0 0.393847595 0.01
uR 815.222865 0.0 0.393066833 0.01
uR 818.46844 0.0 0.392973142 0.01
uR 821.713682 0.0 0.392629606 0.01
uR 824.958592 0.0 0.3908807 0.01
uR 828.20317 0.0 0.390443473 0.01
uR 831.447415 0.0 0.388507183 0.01
uR 834.691327 0.0 0.38960025 0.01
uR 837.934907 0.0 0.387695191 0.01
uR 841.178155 0.0 0.386976889 0.01
uR 844.42107 0.0 0.386695815 0.01
uR 847.663653 0.0 0.384478451 0.01
uR 850.905904 0.0 0.382417239 0.01
uR 854.147822 0.0 0.383073079 0.01
uR 857.389408 0.0 0.381980012 0.01
uR 860.630661 0.0 0.378794503 0.01
uR 863.871582 0.0 0.378732042 0.01
uR 867.11217 0.0 0.376889444 0.01
uR 870.352426 0.0 0.375046846 0.01
uR 873.59235 0.0 0.373235478 0.01
uR 876.831941 0.0 0.371767645 0.01
uR 880.0712 0.0 0.371205497 0.01
uR 883.310126 0.0 0.367707683 0.01
uR 886.54872 0.0 0.365802623 0.01
uR 889.786982 0.0 0.363772642 0.01
uR 893.024911 0.0 0.363335415 0.01
uR 896.262508 0.0 0.362710806 0.01
uR 899.499772 0.0 0.358806996 0.01
uR 902.736704 0.0 0.357932542 0.01
uR 905.973303 0.0 0.351811368 0.01
uR 909.209571 0.0 0.351655215 0.01
uR 912.445505 0.0 0.349656465 0.01
uR 915.681107 0.0 0.348625859 0.01
uR 918.916377 0.0 0.34612742 0.01
uR 922.151315 0.0 0.348844472 0.01
uR 925.38592 0.0 0.339818863 0.01
uR 928.620192 0.0 0.339069332 0.01
uR 931.854132 0.0 0.344909432 0.01
uR 935.08774 0.0 0.332854466 0.01
uR 938.321015 0.0 0.334978139 0.01
uR 941.553958 0.0 0.336633354 0.01
uR 944.786569 0.0 0.334728295 0.01
uR 948.018847 0.0 0.329325422 0.01
