STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.203966271 0.01
uR 354.269018 0.0 0.200093691 0.01
uR 357.561463 0.0 0.199063086 0.01
uR 360.853576 0.0 0.192785759 0.01
uR 364.145357 0.0 0.189350406 0.01
uR 367.436805 0.0 0.186914428 0.01
uR 370.72792 0.0 0.184041224 0.01
uR 374.018704 0.0 0.185009369 0.01
uR 377.309154 0.0 0.188475953 0.01
uR 380.599273 0.0 0.190849469 0.01
uR 383.889059 0.0 0.194472205 0.01
uR 387.178512 0.0 0.197720175 0.01
uR 390.467634 0.0 0.203778888 0.01
uR 393.756422 0.0 0.212648345 0.01
uR 397.044879 0.0 0.221580262 0.01
uR 400.333003 0.0 0.2324797 0.01
uR 403.620794 0.0 0.24547158 0.01
uR 406.908253 0.0 0.255965022 0.01
uR 410.19538 0.0 0.265521549 0.01
uR 413.482174 0.0 0.274640849 0.01
uR 416.768636 0.0 0.28310431 0.01
uR 420.054765 0.0 0.290537164 0.01
uR 423.340563 0.0 0.296564647 0.01
uR 426.626027 0.0 0.300687071 0.01
uR 429.911159 0.0 0.304403498 0.01
uR 433.195959 0.0 0.306402249 0.01
uR 436.480426 0.0 0.307713929 0.01
uR 439.764561 0.0 0.306964397 0.01
uR 443.048364 0.0 0.30649594 0.01
uR 446.331834 0.0 0.304434728 0.01
uR 449.614972 0.0 0.300780762 0.01
uR 452.897777 0.0 0.29803248 0.01
uR 456.18025 0.0 0.294690818 0.01
uR 459.46239 0.0 0.290412242 0.01
uR 462.744198 0.0 0.287257964 0.01
uR 466.025674 0.0 0.283603998 0.01
uR 469.306817 0.0 0.28116802 0.01
uR 472.587628 0.0 0.278825734 0.01
uR 475.868106 0.0 0.277014366 0.01
uR 479.148252 0.0 0.276139913 0.01
uR 482.428066 0.0 0.276483448 0.01
uR 485.707547 0.0 0.276577139 0.01
uR 488.986696 0.0 0.280137414 0.01
uR 492.265512 0.0 0.282261087 0.01
uR 495.543996 0.0 0.286039975 0.01
uR 498.822147 0.0 0.291286696 0.01
uR 502.099966 0.0 0.296595878 0.01
uR 505.377453 0.0 0.301998751 0.01
uR 508.654607 0.0 0.308213616 0.01
uR 511.931429 0.0 0.314459713 0.01
uR 515.207918 0.0 0.322111181 0.01
uR 518.484075 0.0 0.328044972 0.01
uR 521.7599 0.0 0.3350406 0.01
uR 525.035392 0.0 0.340381012 0.01
uR 528.310551 0.0 0.347938788 0.01
uR 531.585379 0.0 0.353060587 0.01
uR 534.859874 0.0 0.358744535 0.01
uR 538.134036 0.0 0.364522174 0.01
uR 541.407866 0.0 0.369331668 0.01
uR 544.681364 0.0 0.373985009 0.01
uR 547.954529 0.0 0.378700812 0.01
uR 551.227362 0.0 0.381917552 0.01
uR 554.499862 0.0 0.384634603 0.01
uR 557.77203 0.0 0.386508432 0.01
uR 561.043866 0.0 0.388632105 0.01
uR 564.315369 0.0 0.390381012 0.01
uR 567.58654 0.0 0.391630231 0.01
uR 570.857378 0.0 0.391442848 0.01
uR 574.127884 0.0 0.39219238 0.01
uR 577.398057 0.0 0.393254216 0.01
uR 580.667898 0.0 0.392286071 0.01
uR 583.937407 0.0 0.391474079 0.01
uR 587.206583 0.0 0.390724547 0.01
uR 590.475427 0.0 0.389725172 0.01
uR 593.743938 0.0 0.387820112 0.01
uR 597.012117 0.0 0.386633354 0.01
uR 600.279964 0.0 0.385321674 0.01
uR 603.547478 0.0 0.382104934 0.01
uR 606.81466 0.0 0.380324797 0.01
uR 610.081509 0.0 0.376920675 0.01
uR 613.348026 0.0 0.373985009 0.01
uR 616.61421 0.0 0.372017489 0.01
uR 619.880062 0.0 0.369019363 0.01
uR 623.145582 0.0 0.365802623 0.01
uR 626.410769 0.0 0.363397876 0.01
uR 629.675624 0.0 0.360087445 0.01
uR 632.940147 0.0 0.356589631 0.01
uR 636.204337 0.0 0.353810119 0.01
uR 639.468194 0.0 0.350936914 0.01
uR 642.731719 0.0 0.348500937 0.01
uR 645.994912 0.0 0.346845721 0.01
uR 649.257772 0.0 0.345128045 0.01
uR 652.5203 0.0 0.343035603 0.01
uR 655.782496 0.0 0.342098688 0.01
uR 659.044359 0.0 0.340318551 0.01
uR 662.305889 0.0 0.34091193 0.01
uR 665.567088 0.0 0.339444097 0.01
uR 668.827954 0.0 0.339225484 0.01
uR 672.088487 0.0 0.339256715 0.01
uR 675.348688 0.0 0.338382261 0.01
uR 678.608556 0.0 0.339100562 0.01
uR 681.868093 0.0 0.339381636 0.01
uR 685.127296 0.0 0.339569019 0.01
uR 688.386168 0.0 0.340599625 0.01
uR 691.644707 0.0 0.341848844 0.01
uR 694.902913 0.0 0.34219238 0.01
uR 698.160787 0.0 0.343816365 0.01
uR 701.418329 0.0 0.345096814 0.01
uR 704.675538 0.0 0.346314803 0.01
uR 707.932415 0.0 0.347907558 0.01
uR 711.188959 0.0 0.349625234 0.01
uR 714.445171 0.0 0.35131168 0.01
uR 717.701051 0.0 0.353154279 0.01
uR 720.956598 0.0 0.354996877 0.01
uR 724.211813 0.0 0.356964397 0.01
uR 727.466695 0.0 0.358900687 0.01
uR 730.721245 0.0 0.360181137 0.01
uR 733.975463 0.0 0.361805122 0.01
uR 737.229348 0.0 0.363835103 0.01
uR 740.4829 0.0 0.366114928 0.01
uR 743.736121 0.0 0.367613991 0.01
uR 746.989009 0.0 0.369800125 0.01
uR 750.241564 0.0 0.371267958 0.01
uR 753.493787 0.0 0.372579638 0.01
uR 756.745678 0.0 0.375608994 0.01
uR 759.997236 0.0 0.376889444 0.01
uR 763.248462 0.0 0.378357277 0.01
uR 766.499355 0.0 0.380168645 0.01
uR 769.749916 0.0 0.380574641 0.01
uR 773.000144 0.0 0.381730169 0.01
uR 776.25004 0.0 0.38310431 0.01
uR 779.499604 0.0 0.383572767 0.01
uR 782.748835 0.0 0.384853217 0.01
uR 785.997734 0.0 0.386102436 0.01
uR 789.246301 0.0 0.386196127 0.01
uR 792.494535 0.0 0.385758901 0.01
uR 795.742436 0.0 0.386008745 0.01
uR 798.990006 0.0 0.386727046 0.01
uR 802.237242 0.0 0.386602124 0.01
uR 805.484147 0.0 0.38763273 0.01
uR 808.730719 0.0 0.387976265 0.01
uR 811.976958 0.0 0.388351031 0.01
uR 815.222865 0.0 0.387195503 0.01
uR 818.46844 0.0 0.387788882 0.01
uR 821.713682 0.0 0.389163023 0.01
uR 824.958592 0.0 0.387414116 0.01
uR 828.20317 0.0 0.387913804 0.01
uR 831.447415 0.0 0.386758276 0.01
uR 834.691327 0.0 0.385165522 0.01
uR 837.934907 0.0 0.385633979 0.01
uR 841.178155 0.0 0.384197377 0.01
uR 844.42107 0.0 0.383291693 0.01
uR 847.663653 0.0 0.382698314 0.01
uR 850.905904 0.0 0.381105559 0.01
uR 854.147822 0.0 0.38113679 0.01
uR 857.389408 0.0 0.378856964 0.01
uR 860.630661 0.0 0.378232355 0.01
uR 863.871582 0.0 0.376358526 0.01
uR 867.11217 0.0 0.375265459 0.01
uR 870.352426 0.0 0.374734541 0.01
uR 873.59235 0.0 0.372142411 0.01
uR 876.831941 0.0 0.372548407 0.01
uR 880.0712 0.0 0.370206121 0.01
uR 883.310126 0.0 0.369675203 0.01
uR 886.54872 0.0 0.36820737 0.01
uR 889.786982 0.0 0.364990631 0.01
uR 893.024911 0.0 0.365740162 0.01
uR 896.262508 0.0 0.362242349 0.01
uR 899.499772 0.0 0.359337914 0.01
uR 902.736704 0.0 0.358088695 0.01
uR 905.973303 0.0 0.357589007 0.01
uR 909.209571 0.0 0.355496565 0.01
uR 912.445505 0.0 0.353341661 0.01
uR 915.681107 0.0 0.351592755 0.01
uR 918.916377 0.0 0.34996877 0.01
uR 922.151315 0.0 0.347158026 0.01
uR 925.38592 0.0 0.347158026 0.01
uR 928.620192 0.0 0.34284822 0.01
uR 931.854132 0.0 0.347126796 0.01
uR 935.08774 0.0 0.341755153 0.01
uR 938.321015 0.0 0.338007495 0.01
uR 941.553958 0.0 0.336976889 0.01
uR 944.786569 0.0 0.333260462 0.01
uR 948.018847 0.0 0.336570893 0.01
