STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.196408495 0.01
uR 354.269018 0.0 0.205996252 0.01
uR 357.561463 0.0 0.207589007 0.01
uR 360.853576 0.0 0.20455965 0.01
uR 364.145357 0.0 0.205121799 0.01
uR 367.436805 0.0 0.206870706 0.01
uR 370.72792 0.0 0.204934416 0.01
uR 374.018704 0.0 0.208338538 0.01
uR 377.309154 0.0 0.205309182 0.01
uR 380.599273 0.0 0.207589007 0.01
uR 383.889059 0.0 0.205965022 0.01
uR 387.178512 0.0 0.203154279 0.01
uR 390.467634 0.0 0.203372892 0.01
uR 393.756422 0.0 0.204247345 0.01
uR 397.044879 0.0 0.204871955 0.01
uR 400.333003 0.0 0.208088695 0.01
uR 403.620794 0.0 0.21427233 0.01
uR 406.908253 0.0 0.220924422 0.01
uR 410.19538 0.0 0.22854466 0.01
uR 413.482174 0.0 0.235602748 0.01
uR 416.768636 0.0 0.243472829 0.01
uR 420.054765 0.0 0.252935665 0.01
uR 423.340563 0.0 0.261992505 0.01
uR 426.626027 0.0 0.270861961 0.01
uR 429.911159 0.0 0.280387258 0.01
uR 433.195959 0.0 0.288694566 0.01
uR 436.480426 0.0 0.297470331 0.01
uR 439.764561 0.0 0.304153654 0.01
uR 443.048364 0.0 0.311118051 0.01
uR 446.331834 0.0 0.318019988 0.01
uR 449.614972 0.0 0.323454091 0.01
uR 452.897777 0.0 0.327763898 0.01
uR 456.18025 0.0 0.332729544 0.01
uR 459.46239 0.0 0.334978139 0.01
uR 462.744198 0.0 0.337382886 0.01
uR 466.025674 0.0 0.339725172 0.01
uR 469.306817 0.0 0.340474703 0.01
uR 472.587628 0.0 0.340974391 0.01
uR 475.868106 0.0 0.340349781 0.01
uR 479.148252 0.0 0.339444097 0.01
uR 482.428066 0.0 0.338007495 0.01
uR 485.707547 0.0 0.336945659 0.01
uR 488.986696 0.0 0.335103061 0.01
uR 492.265512 0.0 0.332792005 0.01
uR 495.543996 0.0 0.330824485 0.01
uR 498.822147 0.0 0.328513429 0.01
uR 502.099966 0.0 0.326670831 0.01
uR 505.377453 0.0 0.323891318 0.01
uR 508.654607 0.0 0.321767645 0.01
uR 511.931429 0.0 0.319081824 0.01
uR 515.207918 0.0 0.317707683 0.01
uR 518.484075 0.0 0.315646471 0.01
uR 521.7599 0.0 0.314772017 0.01
uR 525.035392 0.0 0.311586508 0.01
uR 528.310551 0.0 0.310899438 0.01
uR 531.585379 0.0 0.311086821 0.01
uR 534.859874 0.0 0.310587133 0.01
uR 538.134036 0.0 0.311118051 0.01
uR 541.407866 0.0 0.311149282 0.01
uR 544.681364 0.0 0.312211118 0.01
