STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.207682698 0.01
uR 354.269018 0.0 0.207589007 0.01
uR 357.561463 0.0 0.217332917 0.01
uR 360.853576 0.0 0.213928795 0.01
uR 364.145357 0.0 0.213210493 0.01
uR 367.436805 0.0 0.213179263 0.01
uR 370.72792 0.0 0.208744535 0.01
uR 374.018704 0.0 0.210212367 0.01
uR 377.309154 0.0 0.212492192 0.01
uR 380.599273 0.0 0.208931918 0.01
uR 383.889059 0.0 0.207214241 0.01
uR 387.178512 0.0 0.202810743 0.01
uR 390.467634 0.0 0.202279825 0.01
uR 393.756422 0.0 0.203810119 0.01
uR 397.044879 0.0 0.20646471 0.01
uR 400.333003 0.0 0.212554653 0.01
uR 403.620794 0.0 0.221549032 0.01
uR 406.908253 0.0 0.23179263 0.01
uR 410.19538 0.0 0.241599001 0.01
uR 413.482174 0.0 0.251780137 0.01
uR 416.768636 0.0 0.262179888 0.01
uR 420.054765 0.0 0.272642099 0.01
uR 423.340563 0.0 0.282573392 0.01
uR 426.626027 0.0 0.292004997 0.01
uR 429.911159 0.0 0.299781387 0.01
uR 433.195959 0.0 0.30649594 0.01
uR 436.480426 0.0 0.312898189 0.01
uR 439.764561 0.0 0.315990006 0.01
uR 443.048364 0.0 0.319675203 0.01
uR 446.331834 0.0 0.320986883 0.01
uR 449.614972 0.0 0.32145534 0.01
uR 452.897777 0.0 0.320955653 0.01
uR 456.18025 0.0 0.319675203 0.01
uR 459.46239 0.0 0.316364772 0.01
uR 462.744198 0.0 0.31361649 0.01
uR 466.025674 0.0 0.310212367 0.01
uR 469.306817 0.0 0.306808245 0.01
uR 472.587628 0.0 0.303185509 0.01
uR 475.868106 0.0 0.29868832 0.01
uR 479.148252 0.0 0.295315428 0.01
uR 482.428066 0.0 0.291880075 0.01
uR 485.707547 0.0 0.288788257 0.01
uR 488.986696 0.0 0.287820112 0.01
uR 492.265512 0.0 0.286477202 0.01
