STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.193441599 0.01
uR 354.269018 0.0 0.204934416 0.01
uR 357.561463 0.0 0.207713929 0.01
uR 360.853576 0.0 0.213678951 0.01
uR 364.145357 0.0 0.215240475 0.01
uR 367.436805 0.0 0.219675203 0.01
uR 370.72792 0.0 0.227076827 0.01
uR 374.018704 0.0 0.229356652 0.01
uR 377.309154 0.0 0.232542161 0.01
uR 380.599273 0.0 0.233697689 0.01
uR 383.889059 0.0 0.230824485 0.01
uR 387.178512 0.0 0.226420987 0.01
uR 390.467634 0.0 0.223828857 0.01
uR 393.756422 0.0 0.218988132 0.01
uR 397.044879 0.0 0.21492817 0.01
uR 400.333003 0.0 0.214647096 0.01
uR 403.620794 0.0 0.213554029 0.01
uR 406.908253 0.0 0.213835103 0.01
uR 410.19538 0.0 0.216396002 0.01
uR 413.482174 0.0 0.218644597 0.01
uR 416.768636 0.0 0.222610868 0.01
uR 420.054765 0.0 0.228263585 0.01
uR 423.340563 0.0 0.235633979 0.01
uR 426.626027 0.0 0.242410993 0.01
uR 429.911159 0.0 0.251186758 0.01
uR 433.195959 0.0 0.25971268 0.01
uR 436.480426 0.0 0.268707058 0.01
uR 439.764561 0.0 0.277076827 0.01
uR 443.048364 0.0 0.286570893 0.01
uR 446.331834 0.0 0.295346658 0.01
uR 449.614972 0.0 0.303841349 0.01
uR 452.897777 0.0 0.311086821 0.01
uR 456.18025 0.0 0.318457214 0.01
uR 459.46239 0.0 0.32532792 0.01
uR 462.744198 0.0 0.330605871 0.01
uR 466.025674 0.0 0.335946284 0.01
uR 469.306817 0.0 0.339850094 0.01
uR 472.587628 0.0 0.342723298 0.01
uR 475.868106 0.0 0.345690194 0.01
uR 479.148252 0.0 0.347564022 0.01
uR 482.428066 0.0 0.34934416 0.01
uR 485.707547 0.0 0.349687695 0.01
uR 488.986696 0.0 0.350124922 0.01
uR 492.265512 0.0 0.350374766 0.01
uR 495.543996 0.0 0.350249844 0.01
uR 498.822147 0.0 0.348938164 0.01
uR 502.099966 0.0 0.347470331 0.01
uR 505.377453 0.0 0.345409119 0.01
uR 508.654607 0.0 0.345190506 0.01
uR 511.931429 0.0 0.341005621 0.01
uR 515.207918 0.0 0.338819488 0.01
uR 518.484075 0.0 0.336477202 0.01
uR 521.7599 0.0 0.333916302 0.01
uR 525.035392 0.0 0.331636477 0.01
uR 528.310551 0.0 0.329106808 0.01
uR 531.585379 0.0 0.326826983 0.01
uR 534.859874 0.0 0.324609619 0.01
uR 538.134036 0.0 0.323079325 0.01
uR 541.407866 0.0 0.323204247 0.01
uR 544.681364 0.0 0.320612117 0.01
uR 547.954529 0.0 0.320549656 0.01
uR 551.227362 0.0 0.319519051 0.01
uR 554.499862 0.0 0.320237352 0.01
uR 557.77203 0.0 0.319800125 0.01
uR 561.043866 0.0 0.320299813 0.01
uR 564.315369 0.0 0.321611493 0.01
uR 567.58654 0.0 0.322173641 0.01
uR 570.857378 0.0 0.32339163 0.01
uR 574.127884 0.0 0.325577764 0.01
uR 577.398057 0.0 0.326920675 0.01
uR 580.667898 0.0 0.329606496 0.01
uR 583.937407 0.0 0.3324797 0.01
uR 587.206583 0.0 0.335290443 0.01
uR 590.475427 0.0 0.338194878 0.01
uR 593.743938 0.0 0.341817614 0.01
uR 597.012117 0.0 0.344909432 0.01
uR 600.279964 0.0 0.348594628 0.01
uR 603.547478 0.0 0.35193629 0.01
uR 606.81466 0.0 0.355496565 0.01
uR 610.081509 0.0 0.359275453 0.01
uR 613.348026 0.0 0.362554653 0.01
uR 616.61421 0.0 0.367457839 0.01
uR 619.880062 0.0 0.370237352 0.01
uR 623.145582 0.0 0.372923173 0.01
uR 626.410769 0.0 0.377108057 0.01
uR 629.675624 0.0 0.379825109 0.01
uR 632.940147 0.0 0.381917552 0.01
uR 636.204337 0.0 0.384603373 0.01
uR 639.468194 0.0 0.38703935 0.01
uR 642.731719 0.0 0.388913179 0.01
uR 645.994912 0.0 0.392098688 0.01
uR 649.257772 0.0 0.394565896 0.01
