STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.197439101 0.01
uR 354.269018 0.0 0.205902561 0.01
uR 357.561463 0.0 0.208151156 0.01
uR 360.853576 0.0 0.208588382 0.01
uR 364.145357 0.0 0.209244222 0.01
uR 367.436805 0.0 0.211180512 0.01
uR 370.72792 0.0 0.21102436 0.01
uR 374.018704 0.0 0.20971268 0.01
uR 377.309154 0.0 0.21039975 0.01
uR 380.599273 0.0 0.206839475 0.01
uR 383.889059 0.0 0.203622736 0.01
uR 387.178512 0.0 0.198563398 0.01
uR 390.467634 0.0 0.198625859 0.01
uR 393.756422 0.0 0.197095565 0.01
uR 397.044879 0.0 0.199250468 0.01
uR 400.333003 0.0 0.202904435 0.01
uR 403.620794 0.0 0.210462211 0.01
uR 406.908253 0.0 0.219862586 0.01
uR 410.19538 0.0 0.228763273 0.01
uR 413.482174 0.0 0.238351031 0.01
uR 416.768636 0.0 0.249219238 0.01
uR 420.054765 0.0 0.260212367 0.01
uR 423.340563 0.0 0.270705809 0.01
uR 426.626027 0.0 0.280356027 0.01
uR 429.911159 0.0 0.289569019 0.01
uR 433.195959 0.0 0.297314179 0.01
uR 436.480426 0.0 0.304216115 0.01
uR 439.764561 0.0 0.308838226 0.01
uR 443.048364 0.0 0.313335415 0.01
uR 446.331834 0.0 0.316583385 0.01
uR 449.614972 0.0 0.317895066 0.01
uR 452.897777 0.0 0.317957527 0.01
uR 456.18025 0.0 0.317770144 0.01
uR 459.46239 0.0 0.315302936 0.01
uR 462.744198 0.0 0.313772642 0.01
uR 466.025674 0.0 0.310087445 0.01
uR 469.306817 0.0 0.306777014 0.01
uR 472.587628 0.0 0.303310431 0.01
uR 475.868106 0.0 0.299281699 0.01
uR 479.148252 0.0 0.295284197 0.01
uR 482.428066 0.0 0.292036227 0.01
uR 485.707547 0.0 0.28894441 0.01
uR 488.986696 0.0 0.286414741 0.01
uR 492.265512 0.0 0.285415365 0.01
uR 495.543996 0.0 0.284228607 0.01
uR 498.822147 0.0 0.284634603 0.01
uR 502.099966 0.0 0.285509057 0.01
uR 505.377453 0.0 0.286727046 0.01
uR 508.654607 0.0 0.289912555 0.01
uR 511.931429 0.0 0.29350406 0.01
uR 515.207918 0.0 0.298469706 0.01
uR 518.484075 0.0 0.302404747 0.01
uR 521.7599 0.0 0.308088695 0.01
uR 525.035392 0.0 0.312898189 0.01
uR 528.310551 0.0 0.319300437 0.01
uR 531.585379 0.0 0.325608994 0.01
uR 534.859874 0.0 0.331667708 0.01
uR 538.134036 0.0 0.339194254 0.01
uR 541.407866 0.0 0.345971268 0.01
uR 544.681364 0.0 0.351748907 0.01
uR 547.954529 0.0 0.357870081 0.01
uR 551.227362 0.0 0.362617114 0.01
uR 554.499862 0.0 0.368301062 0.01
uR 557.77203 0.0 0.372891943 0.01
uR 561.043866 0.0 0.376702061 0.01
uR 564.315369 0.0 0.38119925 0.01
uR 567.58654 0.0 0.385321674 0.01
uR 570.857378 0.0 0.388257339 0.01
uR 574.127884 0.0 0.390974391 0.01
uR 577.398057 0.0 0.394284822 0.01
uR 580.667898 0.0 0.395252967 0.01
uR 583.937407 0.0 0.397251718 0.01
uR 587.206583 0.0 0.398344785 0.01
