STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.191880075 0.01
uR 354.269018 0.0 0.199250468 0.01
uR 357.561463 0.0 0.201873829 0.01
uR 360.853576 0.0 0.203841349 0.01
uR 364.145357 0.0 0.205559026 0.01
uR 367.436805 0.0 0.208869457 0.01
uR 370.72792 0.0 0.207026858 0.01
uR 374.018704 0.0 0.211648969 0.01
uR 377.309154 0.0 0.208307308 0.01
uR 380.599273 0.0 0.210524672 0.01
uR 383.889059 0.0 0.209244222 0.01
uR 387.178512 0.0 0.2058401 0.01
uR 390.467634 0.0 0.202904435 0.01
uR 393.756422 0.0 0.201655215 0.01
uR 397.044879 0.0 0.20003123 0.01
uR 400.333003 0.0 0.200218613 0.01
uR 403.620794 0.0 0.202467208 0.01
uR 406.908253 0.0 0.206777014 0.01
uR 410.19538 0.0 0.210930668 0.01
uR 413.482174 0.0 0.216177389 0.01
uR 416.768636 0.0 0.223110556 0.01
uR 420.054765 0.0 0.230293567 0.01
uR 423.340563 0.0 0.238881949 0.01
uR 426.626027 0.0 0.248219863 0.01
uR 429.911159 0.0 0.25712055 0.01
uR 433.195959 0.0 0.26555278 0.01
uR 436.480426 0.0 0.275827608 0.01
uR 439.764561 0.0 0.283728919 0.01
uR 443.048364 0.0 0.292629606 0.01
uR 446.331834 0.0 0.300562149 0.01
uR 449.614972 0.0 0.307838851 0.01
uR 452.897777 0.0 0.313710181 0.01
uR 456.18025 0.0 0.319956277 0.01
uR 459.46239 0.0 0.324921924 0.01
uR 462.744198 0.0 0.329700187 0.01
uR 466.025674 0.0 0.333354154 0.01
uR 469.306817 0.0 0.335758901 0.01
uR 472.587628 0.0 0.337507808 0.01
uR 475.868106 0.0 0.338444722 0.01
uR 479.148252 0.0 0.339131793 0.01
uR 482.428066 0.0 0.339350406 0.01
uR 485.707547 0.0 0.339225484 0.01
uR 488.986696 0.0 0.338475953 0.01
uR 492.265512 0.0 0.337351655 0.01
uR 495.543996 0.0 0.335915053 0.01
uR 498.822147 0.0 0.333479076 0.01
uR 502.099966 0.0 0.332136165 0.01
uR 505.377453 0.0 0.330137414 0.01
uR 508.654607 0.0 0.32792005 0.01
uR 511.931429 0.0 0.325640225 0.01
uR 515.207918 0.0 0.324266084 0.01
uR 518.484075 0.0 0.321549032 0.01
uR 521.7599 0.0 0.319737664 0.01
uR 525.035392 0.0 0.317613991 0.01
uR 528.310551 0.0 0.314647096 0.01
uR 531.585379 0.0 0.313210493 0.01
uR 534.859874 0.0 0.312211118 0.01
uR 538.134036 0.0 0.313085572 0.01
uR 541.407866 0.0 0.311242973 0.01
uR 544.681364 0.0 0.310930668 0.01
uR 547.954529 0.0 0.311648969 0.01
uR 551.227362 0.0 0.312242349 0.01
uR 554.499862 0.0 0.314178638 0.01
uR 557.77203 0.0 0.314584635 0.01
uR 561.043866 0.0 0.316833229 0.01
uR 564.315369 0.0 0.317801374 0.01
uR 567.58654 0.0 0.320580887 0.01
uR 570.857378 0.0 0.32207995 0.01
uR 574.127884 0.0 0.325921299 0.01
uR 577.398057 0.0 0.329637726 0.01
uR 580.667898 0.0 0.331698938 0.01
uR 583.937407 0.0 0.335758901 0.01
uR 587.206583 0.0 0.339693941 0.01
uR 590.475427 0.0 0.343160525 0.01
uR 593.743938 0.0 0.346908182 0.01
uR 597.012117 0.0 0.351530294 0.01
uR 600.279964 0.0 0.355746408 0.01
uR 603.547478 0.0 0.360181137 0.01
