STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.156183635 0.01
uR 354.269018 0.0 0.167332917 0.01
uR 357.561463 0.0 0.172548407 0.01
uR 360.853576 0.0 0.181574016 0.01
uR 364.145357 0.0 0.195534041 0.01
uR 367.436805 0.0 0.209431605 0.01
uR 370.72792 0.0 0.221580262 0.01
uR 374.018704 0.0 0.237070581 0.01
uR 377.309154 0.0 0.245596502 0.01
uR 380.599273 0.0 0.256371018 0.01
uR 383.889059 0.0 0.26171143 0.01
uR 387.178512 0.0 0.262866958 0.01
uR 390.467634 0.0 0.262273579 0.01
uR 393.756422 0.0 0.262148657 0.01
uR 397.044879 0.0 0.260805746 0.01
uR 400.333003 0.0 0.257838851 0.01
uR 403.620794 0.0 0.25518426 0.01
uR 406.908253 0.0 0.251155528 0.01
uR 410.19538 0.0 0.247033104 0.01
uR 413.482174 0.0 0.243379138 0.01
uR 416.768636 0.0 0.240474703 0.01
uR 420.054765 0.0 0.237726421 0.01
uR 423.340563 0.0 0.23700812 0.01
uR 426.626027 0.0 0.235915053 0.01
uR 429.911159 0.0 0.237257964 0.01
uR 433.195959 0.0 0.238475953 0.01
uR 436.480426 0.0 0.242286071 0.01
uR 439.764561 0.0 0.246627108 0.01
uR 443.048364 0.0 0.252810743 0.01
uR 446.331834 0.0 0.258682074 0.01
uR 449.614972 0.0 0.266177389 0.01
uR 452.897777 0.0 0.273485322 0.01
uR 456.18025 0.0 0.280980637 0.01
uR 459.46239 0.0 0.289818863 0.01
uR 462.744198 0.0 0.297782636 0.01
uR 466.025674 0.0 0.306058713 0.01
uR 469.306817 0.0 0.312460962 0.01
uR 472.587628 0.0 0.319206746 0.01
uR 475.868106 0.0 0.325827608 0.01
uR 479.148252 0.0 0.332760775 0.01
uR 482.428066 0.0 0.338850718 0.01
uR 485.707547 0.0 0.343566521 0.01
uR 488.986696 0.0 0.349094316 0.01
uR 492.265512 0.0 0.353185509 0.01
uR 495.543996 0.0 0.3558401 0.01
uR 498.822147 0.0 0.359775141 0.01
uR 502.099966 0.0 0.362054966 0.01
uR 505.377453 0.0 0.364334791 0.01
uR 508.654607 0.0 0.365740162 0.01
uR 511.931429 0.0 0.366989382 0.01
uR 515.207918 0.0 0.366489694 0.01
uR 518.484075 0.0 0.365646471 0.01
uR 521.7599 0.0 0.366114928 0.01
uR 525.035392 0.0 0.363210493 0.01
uR 528.310551 0.0 0.362929419 0.01
uR 531.585379 0.0 0.361367895 0.01
uR 534.859874 0.0 0.359306683 0.01
uR 538.134036 0.0 0.356652092 0.01
uR 541.407866 0.0 0.354153654 0.01
uR 544.681364 0.0 0.353029357 0.01
uR 547.954529 0.0 0.350687071 0.01
uR 551.227362 0.0 0.348282324 0.01
uR 554.499862 0.0 0.345971268 0.01
uR 557.77203 0.0 0.343254216 0.01
uR 561.043866 0.0 0.341786384 0.01
uR 564.315369 0.0 0.339725172 0.01
uR 567.58654 0.0 0.337539038 0.01
uR 570.857378 0.0 0.335821362 0.01
uR 574.127884 0.0 0.334572142 0.01
uR 577.398057 0.0 0.334072455 0.01
uR 580.667898 0.0 0.332635853 0.01
uR 583.937407 0.0 0.332354778 0.01
uR 587.206583 0.0 0.332948157 0.01
uR 590.475427 0.0 0.332292317 0.01
uR 593.743938 0.0 0.333416615 0.01
uR 597.012117 0.0 0.334697064 0.01
uR 600.279964 0.0 0.335259213 0.01
uR 603.547478 0.0 0.337101811 0.01
uR 606.81466 0.0 0.338351031 0.01
uR 610.081509 0.0 0.340630856 0.01
uR 613.348026 0.0 0.341911305 0.01
uR 616.61421 0.0 0.345096814 0.01
