STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.198813242 0.01
uR 354.269018 0.0 0.205153029 0.01
uR 357.561463 0.0 0.203935041 0.01
uR 360.853576 0.0 0.206777014 0.01
uR 364.145357 0.0 0.207682698 0.01
uR 367.436805 0.0 0.209837601 0.01
uR 370.72792 0.0 0.209431605 0.01
uR 374.018704 0.0 0.213179263 0.01
uR 377.309154 0.0 0.210118676 0.01
uR 380.599273 0.0 0.210587133 0.01
uR 383.889059 0.0 0.210024984 0.01
uR 387.178512 0.0 0.207245472 0.01
uR 390.467634 0.0 0.20452842 0.01
uR 393.756422 0.0 0.203060587 0.01
uR 397.044879 0.0 0.201842598 0.01
uR 400.333003 0.0 0.204153654 0.01
uR 403.620794 0.0 0.207401624 0.01
uR 406.908253 0.0 0.211742661 0.01
uR 410.19538 0.0 0.217207995 0.01
uR 413.482174 0.0 0.223579013 0.01
uR 416.768636 0.0 0.230106184 0.01
uR 420.054765 0.0 0.239100562 0.01
uR 423.340563 0.0 0.247688944 0.01
uR 426.626027 0.0 0.256402249 0.01
uR 429.911159 0.0 0.266271081 0.01
uR 433.195959 0.0 0.274266084 0.01
uR 436.480426 0.0 0.284353529 0.01
uR 439.764561 0.0 0.291349157 0.01
uR 443.048364 0.0 0.300499688 0.01
uR 446.331834 0.0 0.307745159 0.01
uR 449.614972 0.0 0.314241099 0.01
uR 452.897777 0.0 0.320174891 0.01
uR 456.18025 0.0 0.325671455 0.01
uR 459.46239 0.0 0.329606496 0.01
uR 462.744198 0.0 0.333479076 0.01
uR 466.025674 0.0 0.337070581 0.01
uR 469.306817 0.0 0.33828857 0.01
uR 472.587628 0.0 0.339818863 0.01
uR 475.868106 0.0 0.340193629 0.01
uR 479.148252 0.0 0.340599625 0.01
uR 482.428066 0.0 0.340505934 0.01
uR 485.707547 0.0 0.339444097 0.01
uR 488.986696 0.0 0.338351031 0.01
uR 492.265512 0.0 0.337133042 0.01
uR 495.543996 0.0 0.334946908 0.01
uR 498.822147 0.0 0.333291693 0.01
uR 502.099966 0.0 0.33182386 0.01
uR 505.377453 0.0 0.32923173 0.01
uR 508.654607 0.0 0.326702061 0.01
uR 511.931429 0.0 0.323985009 0.01
uR 515.207918 0.0 0.322517177 0.01
uR 518.484075 0.0 0.321080575 0.01
uR 521.7599 0.0 0.318582136 0.01
uR 525.035392 0.0 0.315771393 0.01
uR 528.310551 0.0 0.315084322 0.01
uR 531.585379 0.0 0.313960025 0.01
uR 534.859874 0.0 0.313397876 0.01
uR 538.134036 0.0 0.313460337 0.01
uR 541.407866 0.0 0.312523423 0.01
uR 544.681364 0.0 0.313241724 0.01
uR 547.954529 0.0 0.313803873 0.01
uR 551.227362 0.0 0.314522174 0.01
uR 554.499862 0.0 0.315833854 0.01
uR 557.77203 0.0 0.317207995 0.01
uR 561.043866 0.0 0.319893816 0.01
uR 564.315369 0.0 0.321955028 0.01
