STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.17273579 0.01
uR 354.269018 0.0 0.179325422 0.01
uR 357.561463 0.0 0.190162399 0.01
uR 360.853576 0.0 0.198282324 0.01
uR 364.145357 0.0 0.206121174 0.01
uR 367.436805 0.0 0.213116802 0.01
uR 370.72792 0.0 0.226670831 0.01
uR 374.018704 0.0 0.235009369 0.01
uR 377.309154 0.0 0.242098688 0.01
uR 380.599273 0.0 0.247470331 0.01
uR 383.889059 0.0 0.25 0.01
uR 387.178512 0.0 0.247595253 0.01
uR 390.467634 0.0 0.245034354 0.01
uR 393.756422 0.0 0.240162399 0.01
uR 397.044879 0.0 0.237414116 0.01
uR 400.333003 0.0 0.234665834 0.01
uR 403.620794 0.0 0.231043098 0.01
uR 406.908253 0.0 0.227545284 0.01
uR 410.19538 0.0 0.224765771 0.01
uR 413.482174 0.0 0.222860712 0.01
uR 416.768636 0.0 0.222673329 0.01
uR 420.054765 0.0 0.222767021 0.01
uR 423.340563 0.0 0.224765771 0.01
uR 426.626027 0.0 0.227607745 0.01
uR 429.911159 0.0 0.231730169 0.01
uR 433.195959 0.0 0.237351655 0.01
uR 436.480426 0.0 0.243753904 0.01
uR 439.764561 0.0 0.250562149 0.01
uR 443.048364 0.0 0.259244222 0.01
uR 446.331834 0.0 0.267645222 0.01
uR 449.614972 0.0 0.276358526 0.01
uR 452.897777 0.0 0.284728295 0.01
uR 456.18025 0.0 0.293691443 0.01
uR 459.46239 0.0 0.301748907 0.01
uR 462.744198 0.0 0.309900062 0.01
uR 466.025674 0.0 0.317207995 0.01
uR 469.306817 0.0 0.323485322 0.01
uR 472.587628 0.0 0.32857589 0.01
uR 475.868106 0.0 0.334072455 0.01
uR 479.148252 0.0 0.339163023 0.01
uR 482.428066 0.0 0.343847595 0.01
uR 485.707547 0.0 0.346533417 0.01
uR 488.986696 0.0 0.35065584 0.01
uR 492.265512 0.0 0.352717052 0.01
uR 495.543996 0.0 0.354341037 0.01
uR 498.822147 0.0 0.355746408 0.01
uR 502.099966 0.0 0.356558401 0.01
uR 505.377453 0.0 0.356402249 0.01
uR 508.654607 0.0 0.357026858 0.01
uR 511.931429 0.0 0.355090568 0.01
uR 515.207918 0.0 0.354996877 0.01
uR 518.484075 0.0 0.352529669 0.01
uR 521.7599 0.0 0.351374141 0.01
uR 525.035392 0.0 0.348313554 0.01
uR 528.310551 0.0 0.346408495 0.01
uR 531.585379 0.0 0.343785134 0.01
uR 534.859874 0.0 0.341942536 0.01
uR 538.134036 0.0 0.33963148 0.01
uR 541.407866 0.0 0.33763273 0.01
uR 544.681364 0.0 0.335446596 0.01
uR 547.954529 0.0 0.333853841 0.01
uR 551.227362 0.0 0.331011868 0.01
uR 554.499862 0.0 0.330293567 0.01
uR 557.77203 0.0 0.328825734 0.01
uR 561.043866 0.0 0.327732667 0.01
uR 564.315369 0.0 0.326264834 0.01
uR 567.58654 0.0 0.325640225 0.01
uR 570.857378 0.0 0.325202998 0.01
uR 574.127884 0.0 0.324828232 0.01
uR 577.398057 0.0 0.324921924 0.01
uR 580.667898 0.0 0.325202998 0.01
uR 583.937407 0.0 0.327045597 0.01
uR 587.206583 0.0 0.328513429 0.01
uR 590.475427 0.0 0.328919425 0.01
uR 593.743938 0.0 0.331355403 0.01
uR 597.012117 0.0 0.33313554 0.01
uR 600.279964 0.0 0.335977514 0.01
uR 603.547478 0.0 0.338163648 0.01
uR 606.81466 0.0 0.341005621 0.01
uR 610.081509 0.0 0.343910056 0.01
uR 613.348026 0.0 0.347158026 0.01
uR 616.61421 0.0 0.350530918 0.01
uR 619.880062 0.0 0.353622736 0.01
uR 623.145582 0.0 0.355996252 0.01
uR 626.410769 0.0 0.359462836 0.01
uR 629.675624 0.0 0.362398501 0.01
uR 632.940147 0.0 0.364209869 0.01
uR 636.204337 0.0 0.36755153 0.01
uR 639.468194 0.0 0.370424735 0.01
uR 642.731719 0.0 0.372673329 0.01
uR 645.994912 0.0 0.376233604 0.01
uR 649.257772 0.0 0.378700812 0.01
uR 652.5203 0.0 0.381261711 0.01
uR 655.782496 0.0 0.384009994 0.01
uR 659.044359 0.0 0.386727046 0.01
uR 662.305889 0.0 0.389912555 0.01
uR 665.567088 0.0 0.392067458 0.01
uR 668.827954 0.0 0.393660212 0.01
uR 672.088487 0.0 0.396533417 0.01
uR 675.348688 0.0 0.397907558 0.01
uR 678.608556 0.0 0.398594628 0.01
uR 681.868093 0.0 0.401748907 0.01
uR 685.127296 0.0 0.402685821 0.01
uR 688.386168 0.0 0.403529044 0.01
uR 691.644707 0.0 0.404996877 0.01
uR 694.902913 0.0 0.40587133 0.01
uR 698.160787 0.0 0.407464085 0.01
uR 701.418329 0.0 0.408276077 0.01
uR 704.675538 0.0 0.407745159 0.01
uR 707.932415 0.0 0.40777639 0.01
uR 711.188959 0.0 0.407713929 0.01
uR 714.445171 0.0 0.408307308 0.01
uR 717.701051 0.0 0.409150531 0.01
uR 720.956598 0.0 0.408213616 0.01
uR 724.211813 0.0 0.408213616 0.01
uR 727.466695 0.0 0.408182386 0.01
uR 730.721245 0.0 0.407526546 0.01
uR 733.975463 0.0 0.406839475 0.01
uR 737.229348 0.0 0.40649594 0.01
uR 740.4829 0.0 0.405652717 0.01
uR 743.736121 0.0 0.404278576 0.01
uR 746.989009 0.0 0.403966271 0.01
uR 750.241564 0.0 0.401686446 0.01
uR 753.493787 0.0 0.401436602 0.01
uR 756.745678 0.0 0.399812617 0.01
uR 759.997236 0.0 0.398844472 0.01
uR 763.248462 0.0 0.398001249 0.01
uR 766.499355 0.0 0.396158651 0.01
uR 769.749916 0.0 0.393347908 0.01
uR 773.000144 0.0 0.392598376 0.01
uR 776.25004 0.0 0.390787008 0.01
uR 779.499604 0.0 0.387851343 0.01
uR 782.748835 0.0 0.38638351 0.01
uR 785.997734 0.0 0.38438476 0.01
uR 789.246301 0.0 0.382261087 0.01
uR 792.494535 0.0 0.380387258 0.01
uR 795.742436 0.0 0.376951905 0.01
uR 798.990006 0.0 0.375796377 0.01
uR 802.237242 0.0 0.373110556 0.01
uR 805.484147 0.0 0.37145534 0.01
uR 808.730719 0.0 0.368738289 0.01
uR 811.976958 0.0 0.366177389 0.01
uR 815.222865 0.0 0.364147408 0.01
