STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.193691443 0.01
uR 354.269018 0.0 0.202248595 0.01
uR 357.561463 0.0 0.209806371 0.01
uR 360.853576 0.0 0.211461587 0.01
uR 364.145357 0.0 0.215053092 0.01
uR 367.436805 0.0 0.215271705 0.01
uR 370.72792 0.0 0.223141786 0.01
uR 374.018704 0.0 0.22467208 0.01
uR 377.309154 0.0 0.230137414 0.01
uR 380.599273 0.0 0.228107433 0.01
uR 383.889059 0.0 0.225015615 0.01
uR 387.178512 0.0 0.221236727 0.01
uR 390.467634 0.0 0.218269831 0.01
uR 393.756422 0.0 0.212929419 0.01
uR 397.044879 0.0 0.211430356 0.01
uR 400.333003 0.0 0.211180512 0.01
uR 403.620794 0.0 0.211930044 0.01
uR 406.908253 0.0 0.212648345 0.01
uR 410.19538 0.0 0.215740162 0.01
uR 413.482174 0.0 0.219206746 0.01
uR 416.768636 0.0 0.224141162 0.01
uR 420.054765 0.0 0.230574641 0.01
uR 423.340563 0.0 0.238413492 0.01
uR 426.626027 0.0 0.246221112 0.01
uR 429.911159 0.0 0.254778264 0.01
uR 433.195959 0.0 0.264053716 0.01
uR 436.480426 0.0 0.273516552 0.01
uR 439.764561 0.0 0.281355403 0.01
uR 443.048364 0.0 0.291161774 0.01
uR 446.331834 0.0 0.299687695 0.01
uR 449.614972 0.0 0.308119925 0.01
uR 452.897777 0.0 0.315365397 0.01
uR 456.18025 0.0 0.32270456 0.01
uR 459.46239 0.0 0.328450968 0.01
uR 462.744198 0.0 0.333385384 0.01
uR 466.025674 0.0 0.338069956 0.01
uR 469.306817 0.0 0.341942536 0.01
uR 472.587628 0.0 0.344066209 0.01
uR 475.868106 0.0 0.345877577 0.01
uR 479.148252 0.0 0.347657714 0.01
uR 482.428066 0.0 0.348875703 0.01
uR 485.707547 0.0 0.348906933 0.01
uR 488.986696 0.0 0.349031855 0.01
uR 492.265512 0.0 0.348500937 0.01
uR 495.543996 0.0 0.347751405 0.01
uR 498.822147 0.0 0.346502186 0.01
uR 502.099966 0.0 0.344565896 0.01
uR 505.377453 0.0 0.342723298 0.01
uR 508.654607 0.0 0.340162399 0.01
uR 511.931429 0.0 0.338382261 0.01
uR 515.207918 0.0 0.33638351 0.01
uR 518.484075 0.0 0.332542161 0.01
uR 521.7599 0.0 0.331105559 0.01
uR 525.035392 0.0 0.32792005 0.01
uR 528.310551 0.0 0.32595253 0.01
uR 531.585379 0.0 0.323860087 0.01
uR 534.859874 0.0 0.322517177 0.01
uR 538.134036 0.0 0.320487196 0.01
uR 541.407866 0.0 0.321018114 0.01
uR 544.681364 0.0 0.319831355 0.01
uR 547.954529 0.0 0.319581512 0.01
uR 551.227362 0.0 0.318988132 0.01
uR 554.499862 0.0 0.319612742 0.01
uR 557.77203 0.0 0.319987508 0.01
uR 561.043866 0.0 0.321143036 0.01
uR 564.315369 0.0 0.322423485 0.01
uR 567.58654 0.0 0.323672705 0.01
uR 570.857378 0.0 0.325484072 0.01
uR 574.127884 0.0 0.327389132 0.01
uR 577.398057 0.0 0.329793879 0.01
uR 580.667898 0.0 0.332198626 0.01
uR 583.937407 0.0 0.335415365 0.01
uR 587.206583 0.0 0.339006871 0.01
uR 590.475427 0.0 0.34153654 0.01
uR 593.743938 0.0 0.345034354 0.01
uR 597.012117 0.0 0.34868832 0.01
uR 600.279964 0.0 0.352810743 0.01
uR 603.547478 0.0 0.356589631 0.01
uR 606.81466 0.0 0.360149906 0.01
uR 610.081509 0.0 0.363866334 0.01
uR 613.348026 0.0 0.367395378 0.01
uR 616.61421 0.0 0.371580262 0.01
uR 619.880062 0.0 0.375359151 0.01
uR 623.145582 0.0 0.378076202 0.01
uR 626.410769 0.0 0.38179263 0.01
uR 629.675624 0.0 0.383822611 0.01
uR 632.940147 0.0 0.385977514 0.01
uR 636.204337 0.0 0.389850094 0.01
uR 639.468194 0.0 0.39091193 0.01
uR 642.731719 0.0 0.393472829 0.01
uR 645.994912 0.0 0.395815116 0.01
uR 649.257772 0.0 0.398594628 0.01
uR 652.5203 0.0 0.400405996 0.01
uR 655.782496 0.0 0.402279825 0.01
uR 659.044359 0.0 0.403997502 0.01
uR 662.305889 0.0 0.406402249 0.01
uR 665.567088 0.0 0.40780762 0.01
uR 668.827954 0.0 0.408369769 0.01
uR 672.088487 0.0 0.410587133 0.01
uR 675.348688 0.0 0.411336665 0.01
uR 678.608556 0.0 0.411524047 0.01
uR 681.868093 0.0 0.412710806 0.01
uR 685.127296 0.0 0.412742036 0.01
uR 688.386168 0.0 0.413491568 0.01
uR 691.644707 0.0 0.413554029 0.01
uR 694.902913 0.0 0.412742036 0.01
uR 698.160787 0.0 0.413491568 0.01
uR 701.418329 0.0 0.412929419 0.01
uR 704.675538 0.0 0.411773891 0.01
uR 707.932415 0.0 0.410555903 0.01
uR 711.188959 0.0 0.40971268 0.01
uR 714.445171 0.0 0.409369144 0.01
uR 717.701051 0.0 0.408838226 0.01
uR 720.956598 0.0 0.407620237 0.01
uR 724.211813 0.0 0.406308557 0.01
uR 727.466695 0.0 0.405434104 0.01
uR 730.721245 0.0 0.404934416 0.01
uR 733.975463 0.0 0.402717052 0.01
uR 737.229348 0.0 0.401217989 0.01
uR 740.4829 0.0 0.4 0.01
uR 743.736121 0.0 0.397782636 0.01
uR 746.989009 0.0 0.396314803 0.01
uR 750.241564 0.0 0.394191131 0.01
uR 753.493787 0.0 0.39287945 0.01
uR 756.745678 0.0 0.390599625 0.01
uR 759.997236 0.0 0.389787633 0.01
uR 763.248462 0.0 0.387945034 0.01
uR 766.499355 0.0 0.386477202 0.01
uR 769.749916 0.0 0.382573392 0.01
uR 773.000144 0.0 0.38119925 0.01
uR 776.25004 0.0 0.379294191 0.01
uR 779.499604 0.0 0.375140537 0.01
uR 782.748835 0.0 0.374172392 0.01
uR 785.997734 0.0 0.370986883 0.01
uR 789.246301 0.0 0.368707058 0.01
uR 792.494535 0.0 0.366583385 0.01
uR 795.742436 0.0 0.362835728 0.01
uR 798.990006 0.0 0.360774516 0.01
uR 802.237242 0.0 0.357901312 0.01
uR 805.484147 0.0 0.356527171 0.01
uR 808.730719 0.0 0.354091193 0.01
uR 811.976958 0.0 0.351561524 0.01
uR 815.222865 0.0 0.349594004 0.01
uR 818.46844 0.0 0.347095565 0.01
uR 821.713682 0.0 0.345190506 0.01
uR 824.958592 0.0 0.342535915 0.01
uR 828.20317 0.0 0.34025609 0.01
uR 831.447415 0.0 0.33763273 0.01
uR 834.691327 0.0 0.337226733 0.01
uR 837.934907 0.0 0.333322923 0.01
uR 841.178155 0.0 0.330637102 0.01
uR 844.42107 0.0 0.329762648 0.01
uR 847.663653 0.0 0.326764522 0.01
uR 850.905904 0.0 0.32467208 0.01
uR 854.147822 0.0 0.323454091 0.01
uR 857.389408 0.0 0.320955653 0.01
