STM Crolles data; Norm= 32020
nm
uR 350.97624 0.0 0.163335415 0.01
uR 354.269018 0.0 0.157901312 0.01
uR 357.561463 0.0 0.15646471 0.01
uR 360.853576 0.0 0.154028732 0.01
uR 364.145357 0.0 0.153935041 0.01
uR 367.436805 0.0 0.159650219 0.01
uR 370.72792 0.0 0.17204872 0.01
uR 374.018704 0.0 0.179762648 0.01
uR 377.309154 0.0 0.19478451 0.01
uR 380.599273 0.0 0.207745159 0.01
uR 383.889059 0.0 0.222610868 0.01
uR 387.178512 0.0 0.232229856 0.01
uR 390.467634 0.0 0.244659588 0.01
uR 393.756422 0.0 0.252529669 0.01
uR 397.044879 0.0 0.260993129 0.01
uR 400.333003 0.0 0.270174891 0.01
uR 403.620794 0.0 0.277732667 0.01
uR 406.908253 0.0 0.282198626 0.01
uR 410.19538 0.0 0.285571518 0.01
uR 413.482174 0.0 0.28700812 0.01
uR 416.768636 0.0 0.28700812 0.01
uR 420.054765 0.0 0.286414741 0.01
uR 423.340563 0.0 0.285509057 0.01
uR 426.626027 0.0 0.281917552 0.01
uR 429.911159 0.0 0.278919425 0.01
uR 433.195959 0.0 0.275890069 0.01
uR 436.480426 0.0 0.272423485 0.01
uR 439.764561 0.0 0.268394753 0.01
uR 443.048364 0.0 0.265740162 0.01
uR 446.331834 0.0 0.262585884 0.01
uR 449.614972 0.0 0.260774516 0.01
uR 452.897777 0.0 0.259462836 0.01
uR 456.18025 0.0 0.259400375 0.01
uR 459.46239 0.0 0.259681449 0.01
uR 462.744198 0.0 0.261211743 0.01
uR 466.025674 0.0 0.263835103 0.01
uR 469.306817 0.0 0.266958151 0.01
uR 472.587628 0.0 0.270518426 0.01
uR 475.868106 0.0 0.275359151 0.01
uR 479.148252 0.0 0.281698938 0.01
uR 482.428066 0.0 0.28763273 0.01
uR 485.707547 0.0 0.293597751 0.01
uR 488.986696 0.0 0.30193629 0.01
uR 492.265512 0.0 0.308869457 0.01
uR 495.543996 0.0 0.316021237 0.01
uR 498.822147 0.0 0.323610244 0.01
uR 502.099966 0.0 0.330605871 0.01
uR 505.377453 0.0 0.337351655 0.01
uR 508.654607 0.0 0.344409744 0.01
uR 511.931429 0.0 0.349625234 0.01
uR 515.207918 0.0 0.354809494 0.01
uR 518.484075 0.0 0.360306059 0.01
uR 521.7599 0.0 0.365271705 0.01
uR 525.035392 0.0 0.36880075 0.01
uR 528.310551 0.0 0.371736415 0.01
uR 531.585379 0.0 0.373735166 0.01
uR 534.859874 0.0 0.376358526 0.01
uR 538.134036 0.0 0.379075578 0.01
uR 541.407866 0.0 0.380074953 0.01
uR 544.681364 0.0 0.381043098 0.01
uR 547.954529 0.0 0.381855091 0.01
uR 551.227362 0.0 0.381480325 0.01
uR 554.499862 0.0 0.38113679 0.01
uR 557.77203 0.0 0.380074953 0.01
uR 561.043866 0.0 0.378482199 0.01
uR 564.315369 0.0 0.377763898 0.01
uR 567.58654 0.0 0.376233604 0.01
uR 570.857378 0.0 0.373766396 0.01
uR 574.127884 0.0 0.371549032 0.01
uR 577.398057 0.0 0.369550281 0.01
uR 580.667898 0.0 0.3675203 0.01
uR 583.937407 0.0 0.365021861 0.01
uR 587.206583 0.0 0.363210493 0.01
uR 590.475427 0.0 0.360274828 0.01
uR 593.743938 0.0 0.358213616 0.01
uR 597.012117 0.0 0.356152405 0.01
uR 600.279964 0.0 0.353841349 0.01
uR 603.547478 0.0 0.352061212 0.01
uR 606.81466 0.0 0.35 0.01
uR 610.081509 0.0 0.348188632 0.01
uR 613.348026 0.0 0.346283573 0.01
uR 616.61421 0.0 0.345252967 0.01
uR 619.880062 0.0 0.343722673 0.01
uR 623.145582 0.0 0.341755153 0.01
uR 626.410769 0.0 0.341317926 0.01
uR 629.675624 0.0 0.340099938 0.01
uR 632.940147 0.0 0.338132417 0.01
uR 636.204337 0.0 0.338757027 0.01
uR 639.468194 0.0 0.338632105 0.01
uR 642.731719 0.0 0.337882573 0.01
uR 645.994912 0.0 0.339006871 0.01
uR 649.257772 0.0 0.339881324 0.01
uR 652.5203 0.0 0.340381012 0.01
uR 655.782496 0.0 0.341911305 0.01
uR 659.044359 0.0 0.342660837 0.01
uR 662.305889 0.0 0.344878201 0.01
uR 665.567088 0.0 0.346408495 0.01
uR 668.827954 0.0 0.348188632 0.01
uR 672.088487 0.0 0.350718301 0.01
uR 675.348688 0.0 0.351780137 0.01
uR 678.608556 0.0 0.353466583 0.01
uR 681.868093 0.0 0.356277327 0.01
uR 685.127296 0.0 0.35780762 0.01
uR 688.386168 0.0 0.36036852 0.01
uR 691.644707 0.0 0.363179263 0.01
uR 694.902913 0.0 0.364428482 0.01
uR 698.160787 0.0 0.367051843 0.01
uR 701.418329 0.0 0.36948782 0.01
uR 704.675538 0.0 0.371049344 0.01
uR 707.932415 0.0 0.372267333 0.01
uR 711.188959 0.0 0.374234853 0.01
uR 714.445171 0.0 0.376389756 0.01
