"Wavelength (nm)"; "Reflectance"
556,5; 0,335782
557; 0,332519
557,5; 0,328705
558; 0,324583
558,5; 0,320434
559; 0,316262
559,5; 0,311876
560; 0,307229
560,5; 0,302511
561; 0,29786
561,5; 0,29312
562; 0,288012
562,5; 0,282791
563; 0,277553
563,5; 0,272164
564; 0,266502
564,5; 0,260555
565; 0,254428
565,5; 0,248289
566; 0,242154
566,5; 0,236001
567; 0,229888
567,5; 0,223686
568; 0,217252
568,5; 0,210598
569; 0,20385
569,5; 0,197133
570; 0,190486
570,5; 0,183766
571; 0,176895
571,5; 0,169954
572; 0,163062
572,5; 0,156259
573; 0,149507
573,5; 0,142783
574; 0,136166
574,5; 0,129721
575; 0,123286
575,5; 0,116799
576; 0,110315
576,5; 0,103964
577; 0,097822
577,5; 0,091851
578; 0,085912
578,5; 0,080115
579; 0,074537
579,5; 0,069098
580; 0,063933
580,5; 0,059068
581; 0,054377
581,5; 0,050009
582; 0,045936
582,5; 0,041983
583; 0,038311
583,5; 0,03492
584; 0,031738
584,5; 0,028959
585; 0,026523
585,5; 0,024314
586; 0,022479
586,5; 0,020956
587; 0,019656
587,5; 0,018656
588; 0,017944
588,5; 0,017575
589; 0,017707
589,5; 0,01819
590; 0,018932
590,5; 0,019985
591; 0,021271
591,5; 0,022813
592; 0,024707
592,5; 0,02686
593; 0,029305
593,5; 0,032117
594; 0,035164
594,5; 0,038442
595; 0,041975
595,5; 0,04566
596; 0,049542
596,5; 0,053649
597; 0,057897
597,5; 0,062412
598; 0,067243
598,5; 0,072239
599; 0,077272
599,5; 0,082274
600; 0,087279
600,5; 0,092488
601; 0,097905
601,5; 0,103404
602; 0,109048
602,5; 0,114739
603; 0,120399
603,5; 0,126235
604; 0,132066
604,5; 0,137757
605; 0,143597
605,5; 0,149418
606; 0,155111
606,5; 0,160875
607; 0,166587
607,5; 0,172276
608; 0,178141
608,5; 0,183905
609; 0,18955
609,5; 0,195227
610; 0,200602
610,5; 0,205874
611; 0,211344
611,5; 0,216561
612; 0,221666
612,5; 0,226814
613; 0,231583
613,5; 0,236345
614; 0,241283
614,5; 0,245923
615; 0,250574
615,5; 0,255297
616; 0,259726
616,5; 0,26418
617; 0,268604
617,5; 0,272655
618; 0,276637
618,5; 0,280664
619; 0,284658
619,5; 0,288608
620; 0,292274
620,5; 0,295516
621; 0,298602
621,5; 0,301676
622; 0,304835
622,5; 0,308124
623; 0,311077
623,5; 0,31364
624; 0,316241
624,5; 0,318699
625; 0,321096
625,5; 0,323653
626; 0,325983
626,5; 0,328209
627; 0,33052
627,5; 0,332374
628; 0,333861
