"Wavelength (nm)"	"Reflectance"
578,5	0,278818
579	0,276227
579,5	0,273633
580	0,270995
580,5	0,268342
581	0,265737
581,5	0,263094
582	0,26037
582,5	0,257603
583	0,254841
583,5	0,252081
584	0,249293
584,5	0,246478
585	0,243661
585,5	0,240879
586	0,23817
586,5	0,235471
587	0,232713
587,5	0,229912
588	0,227146
588,5	0,224422
589	0,221656
589,5	0,218912
590	0,216214
590,5	0,213496
591	0,210703
591,5	0,207827
592	0,204895
592,5	0,20192
593	0,198993
593,5	0,196185
594	0,193376
594,5	0,190536
595	0,187743
595,5	0,185115
596	0,182504
596,5	0,179796
597	0,177113
597,5	0,174495
598	0,171859
598,5	0,169069
599	0,166235
599,5	0,163511
600	0,160947
600,5	0,158368
601	0,155809
601,5	0,153415
602	0,15107
602,5	0,148715
603	0,146355
603,5	0,144001
604	0,141695
604,5	0,139422
605	0,137081
605,5	0,134806
606	0,132642
606,5	0,130433
607	0,128277
607,5	0,1262
608	0,124098
608,5	0,122013
609	0,119909
609,5	0,117746
610	0,115713
610,5	0,11382
611	0,112014
611,5	0,110407
612	0,108903
612,5	0,107381
613	0,10588
613,5	0,10435
614	0,102797
614,5	0,101321
615	0,099871
615,5	0,098434
616	0,097084
616,5	0,095859
617	0,094756
617,5	0,093736
618	0,092727
618,5	0,091749
619	0,090849
619,5	0,090015
620	0,089217
620,5	0,088436
621	0,087685
621,5	0,08705
622	0,086568
622,5	0,086172
623	0,085819
623,5	0,085455
624	0,085045
624,5	0,084708
625	0,084462
625,5	0,084247
626	0,084099
626,5	0,084065
627	0,084163
627,5	0,08435
628	0,084529
628,5	0,084676
629	0,084906
629,5	0,085213
630	0,085524
630,5	0,085793
631	0,086171
631,5	0,086726
632	0,087386
632,5	0,088091
633	0,08881
633,5	0,08956
634	0,090409
634,5	0,091348
635	0,092286
635,5	0,093114
636	0,093969
636,5	0,094966
637	0,09604
637,5	0,097186
638	0,098326
638,5	0,099361
639	0,100575
639,5	0,1019
640	0,103075
640,5	0,104357
641	0,105728
641,5	0,107072
642	0,108571
642,5	0,110112
643	0,111597
643,5	0,113185
644	0,114786
