SE ALPHA BETA
AOI	 71.5921
A	 -24.9788
SE 365.632	0.957107	0.0337377
SE 366.313	0.968536	0.0418476
SE 366.995	0.97702	0.0487892
SE 367.676	0.98307	0.0517024
SE 368.357	0.985643	0.0519637
SE 369.039	0.984348	0.0469648
SE 369.72	0.979727	0.0401203
SE 370.401	0.972564	0.0292967
SE 371.082	0.962324	0.0191685
SE 371.763	0.949324	0.00465246
SE 372.444	0.935138	-0.0106159
SE 373.125	0.918041	-0.0278681
SE 373.806	0.90146	-0.045202
SE 374.487	0.881724	-0.0621336
SE 375.168	0.863158	-0.0813092
SE 375.849	0.843163	-0.0987412
SE 376.53	0.8254	-0.114703
SE 377.21	0.805644	-0.131366
SE 377.891	0.786792	-0.145813
SE 378.571	0.76678	-0.159444
SE 379.252	0.747455	-0.172045
SE 379.932	0.729574	-0.183424
SE 380.613	0.711753	-0.194437
SE 381.293	0.694178	-0.203631
SE 381.973	0.677844	-0.213154
SE 382.654	0.661373	-0.220032
SE 383.334	0.645373	-0.225079
SE 384.014	0.63107	-0.22973
SE 384.694	0.613845	-0.234549
SE 385.374	0.598514	-0.240186
SE 386.054	0.584	-0.241827
SE 386.734	0.569171	-0.243718
SE 387.414	0.553637	-0.245423
SE 388.094	0.542846	-0.245961
SE 388.774	0.527681	-0.244957
SE 389.453	0.512772	-0.245277
SE 390.133	0.50001	-0.240556
SE 390.813	0.486271	-0.23967
SE 391.492	0.472806	-0.236191
SE 392.172	0.45953	-0.231763
SE 392.851	0.446754	-0.227082
SE 393.53	0.434029	-0.222875
SE 394.21	0.420701	-0.216511
SE 394.889	0.407705	-0.210125
SE 395.568	0.394715	-0.204366
SE 396.248	0.379724	-0.197099
SE 396.927	0.367269	-0.188998
SE 397.606	0.354943	-0.179984
SE 398.285	0.341139	-0.171694
SE 398.964	0.328474	-0.161325
SE 399.643	0.313665	-0.153442
SE 400.322	0.300754	-0.141936
SE 401.001	0.287618	-0.13154
SE 401.679	0.273682	-0.119368
SE 402.358	0.258514	-0.108027
SE 403.037	0.244865	-0.0965572
SE 403.715	0.230538	-0.0821589
SE 404.394	0.214798	-0.0704524
SE 405.073	0.201934	-0.055786
SE 405.751	0.187749	-0.0411097
SE 406.429	0.171723	-0.0277571
SE 407.108	0.157592	-0.0113774
SE 407.786	0.140562	0.00441382
SE 408.464	0.126689	0.0190639
SE 409.143	0.110947	0.0344424
SE 409.821	0.0952424	0.0515349
SE 410.499	0.0783863	0.0698749
SE 411.177	0.0627752	0.0856348
SE 411.855	0.0435876	0.106255
SE 412.533	0.0285631	0.124767
SE 413.211	0.0116356	0.141954
SE 413.889	-0.00377761	0.161666
SE 414.567	-0.023128	0.181329
SE 415.245	-0.0415233	0.201791
SE 415.922	-0.0581689	0.221659
SE 416.6	-0.0763882	0.239682
SE 417.278	-0.0947486	0.260755
SE 417.955	-0.112317	0.281684
SE 418.633	-0.129908	0.302467
SE 419.31	-0.148128	0.3241
SE 419.988	-0.16709	0.344752
SE 420.665	-0.185747	0.362124
SE 421.342	-0.203747	0.383368
SE 422.02	-0.2217	0.404558
SE 422.697	-0.240789	0.423531
SE 423.374	-0.259609	0.445691
SE 424.051	-0.276317	0.463429
SE 424.728	-0.294992	0.484377
SE 425.405	-0.312696	0.504734
SE 426.082	-0.330033	0.52472
SE 426.759	-0.348522	0.541448
SE 427.436	-0.363098	0.561654
SE 428.113	-0.381265	0.577535
SE 428.79	-0.39744	0.595239
SE 429.466	-0.410217	0.613955
SE 430.143	-0.428668	0.628248
SE 430.82	-0.444991	0.642238
SE 431.496	-0.455739	0.658486
SE 432.173	-0.470201	0.672545
SE 432.849	-0.481556	0.687587
SE 433.526	-0.495875	0.700369
SE 434.202	-0.50826	0.711274
SE 434.879	-0.518007	0.722705
SE 435.555	-0.531492	0.734084
SE 436.231	-0.538779	0.742575
SE 436.907	-0.548789	0.751453
SE 437.584	-0.555854	0.758174
SE 438.26	-0.563777	0.764644
SE 438.936	-0.570775	0.771539
SE 439.612	-0.57679	0.774194
SE 440.288	-0.58242	0.775882
SE 440.964	-0.58483	0.779048
SE 441.64	-0.589327	0.781194
