SE PSI DELTA			
SE	256.905	0.720002	-0.354207
SE	257.032	0.720354	-0.355343
SE	257.159	0.720704	-0.356485
SE	257.286	0.721054	-0.357633
SE	257.414	0.721405	-0.358795
SE	257.542	0.721754	-0.359961
SE	257.67	0.722101	-0.361134
SE	257.798	0.722446	-0.362312
SE	257.927	0.722792	-0.363504
SE	258.056	0.723129	-0.364701
SE	258.185	0.723348	-0.365868
SE	258.315	0.723564	-0.367041
SE	258.444	0.723779	-0.368228
SE	258.574	0.723989	-0.369412
SE	258.704	0.724199	-0.37062
SE	258.835	0.724404	-0.371824
SE	258.965	0.724604	-0.373035
SE	259.096	0.724803	-0.37426
SE	259.227	0.724997	-0.375491
SE	259.359	0.725189	-0.376737
SE	259.49	0.725374	-0.37798
SE	259.622	0.725556	-0.379238
SE	259.754	0.725734	-0.380502
SE	259.887	0.725908	-0.381781
SE	260.019	0.726075	-0.383057
SE	260.152	0.726242	-0.384348
SE	260.285	0.726407	-0.385643
SE	260.419	0.726573	-0.386953
SE	260.552	0.726736	-0.388258
SE	260.686	0.7269	-0.389577
SE	260.82	0.727062	-0.390901
SE	260.955	0.727279	-0.392367
SE	261.09	0.727494	-0.39384
SE	261.225	0.727707	-0.395316
SE	261.36	0.727919	-0.396798
SE	261.496	0.728129	-0.398295
SE	261.632	0.728337	-0.399796
SE	261.768	0.728543	-0.401302
SE	261.904	0.728745	-0.402813
SE	262.041	0.728947	-0.40434
SE	262.178	0.729145	-0.405871
SE	262.315	0.729339	-0.407406
SE	262.452	0.729531	-0.408946
SE	262.59	0.72972	-0.410502
SE	262.728	0.729905	-0.412062
SE	262.866	0.730086	-0.413628
SE	263.005	0.730265	-0.415208
SE	263.144	0.730438	-0.416794
SE	263.283	0.730608	-0.418383
SE	263.422	0.730773	-0.419978
SE	263.562	0.730934	-0.421588
SE	263.702	0.731089	-0.423203
SE	263.842	0.731155	-0.424786
SE	263.983	0.731217	-0.426385
SE	264.123	0.731272	-0.427977
SE	264.265	0.731323	-0.429595
SE	264.406	0.731367	-0.431207
SE	264.548	0.731406	-0.432833
SE	264.69	0.731439	-0.434464
SE	264.832	0.731465	-0.4361
SE	264.975	0.731484	-0.43775
SE	265.117	0.7315	-0.439393
SE	265.261	0.731517	-0.441058
SE	265.404	0.731535	-0.442713
SE	265.548	0.731553	-0.444381
SE	265.692	0.73157	-0.446049
SE	265.836	0.731587	-0.447719
SE	265.981	0.731602	-0.449402
SE	266.126	0.731616	-0.451088
SE	266.271	0.731628	-0.452775
SE	266.417	0.731637	-0.454476
SE	266.563	0.731643	-0.45618
SE	266.709	0.731647	-0.457886
SE	266.855	0.731682	-0.459586
SE	267.002	0.731712	-0.461301
SE	267.149	0.731738	-0.46302
SE	267.296	0.731758	-0.464743
SE	267.444	0.731773	-0.466482
SE	267.592	0.731781	-0.468226
SE	267.74	0.731783	-0.469974
SE	267.889	0.731778	-0.471739
SE	268.038	0.731765	-0.47351
SE	268.187	0.731745	-0.475286
SE	268.337	0.731716	-0.47708
SE	268.487	0.731678	-0.47888
SE	268.637	0.73163	-0.480685
SE	268.787	0.731574	-0.482498
SE	268.938	0.731507	-0.484329
